Observed,pct_slow_lower_income,pct_slow_upper_income,isp,major_city,display_city
46.18000000000001,53.28000000000001,7.1,AT&T,Oklahoma City,"Oklahoma City, Okla."
43.03999999999999,54.059999999999995,11.020000000000001,AT&T,Kansas City,"Kansas City, Mo."
36.89000000000001,80.7,43.81,AT&T,New Orleans,"New Orleans, La."
34.86,42.44,7.580000000000001,AT&T,Charleston,"Charleston, S.C."
30.810000000000002,34.86,4.05,AT&T,Louisville,"Louisville, Ky."
24.080000000000002,28.98,4.9,AT&T,Wichita,"Wichita, Kan."
23.96,30.79,6.83,AT&T,Jackson,"Jackson, Miss."
23.68,49.78,26.1,AT&T,Detroit,"Detroit, Mich."
21.099999999999998,50.019999999999996,28.92,AT&T,Los Angeles,"Los Angeles, Calif."
15.530000000000003,20.880000000000003,5.35,AT&T,Milwaukee,"Milwaukee, Wis."
13.8,20.41,6.61,AT&T,Columbus,"Columbus, Ohio"
12.770000000000001,23.91,11.14,AT&T,Nashville,"Nashville, Tenn."
12.01,21.63,9.62,AT&T,Huntsville,"Huntsville, Ala."
11.950000000000001,17.23,5.28,AT&T,Little Rock,"Little Rock, Ark."
11.030000000000001,15.07,4.04,AT&T,Houston,"Houston, Texas"
10.779999999999998,24.83,14.05,AT&T,Indianapolis,"Indianapolis, Ind."
9.91,13.930000000000001,4.02,AT&T,Jacksonville,"Jacksonville, Fla."
7.400000000000001,14.430000000000001,7.03,AT&T,Atlanta,"Atlanta, Ga."
5.869999999999997,28.34,22.470000000000002,AT&T,Chicago,"Chicago, Ill."
4.82,9.64,4.82,AT&T,Charlotte,"Charlotte, N.C."
19.759999999999998,32.28,12.520000000000001,Verizon,Washington,Washington
9.229999999999999,28.84,19.61,Verizon,Virginia Beach,"Virginia Beach, Va."
5.52,18.9,13.38,Verizon,Newark,"Newark, N.J."
43.61000000000001,51.300000000000004,7.6899999999999995,CenturyLink,Minneapolis,"Minneapolis, Minn."
37.72,68.57,30.85,CenturyLink,Cheyenne,"Cheyenne, Wyo."
31.240000000000002,50.56,19.32,CenturyLink,Seattle,"Seattle, Wash"
30.14,52.75,22.61,CenturyLink,Omaha,"Omaha, Neb."
26.87,67.84,40.97,CenturyLink,Las Vegas,"Las Vegas, Nev."
18.240000000000002,45.45,27.21,CenturyLink,Salt Lake City,"Salt Lake City, Utah"
17.979999999999997,67.78,49.8,CenturyLink,Sioux Falls,"Sioux Falls, S.D."
16.82,31.75,14.93,CenturyLink,Phoenix,"Phoenix, Ariz."
14.97,23.11,8.14,CenturyLink,Denver,"Denver, Colo."
14.91,77.49000000000001,62.580000000000005,CenturyLink,Billings,"Billings, Mont."
12.259999999999998,39.97,27.71,CenturyLink,Des Moines,"Des Moines, Iowa"
11.069999999999997,27.24,16.17,CenturyLink,Portland,"Portland, Ore."
7.380000000000001,25.6,18.22,CenturyLink,Albuquerque,"Albuquerque, N.M."
4.539999999999999,33.57,29.03,CenturyLink,Fargo,"Fargo, N.D."
0.6999999999999993,12.389999999999999,11.690000000000001,CenturyLink,Boise,"Boise, Idaho"
37.599999999999994,80.67999999999999,43.08,EarthLink,New Orleans,"New Orleans, La."
32.75,53.53,20.78,EarthLink,Charleston,"Charleston, S.C."
26.840000000000003,56.84,30.0,EarthLink,Kansas City,"Kansas City, Mo."
26.44,33.650000000000006,7.21,EarthLink,Louisville,"Louisville, Ky."
23.11,42.63,19.52,EarthLink,Oklahoma City,"Oklahoma City, Okla."
21.4,47.8,26.400000000000002,EarthLink,Los Angeles,"Los Angeles, Calif."
20.26,47.71,27.450000000000003,EarthLink,Detroit,"Detroit, Mich."
13.040000000000001,20.93,7.89,EarthLink,Milwaukee,"Milwaukee, Wis."
10.319999999999999,28.74,18.42,EarthLink,Chicago,"Chicago, Ill."
8.96,26.090000000000003,17.130000000000003,EarthLink,Wichita,"Wichita, Kan."
8.669999999999998,15.559999999999999,6.890000000000001,EarthLink,Houston,"Houston, Texas"
5.319999999999999,13.08,7.76,EarthLink,Huntsville,"Huntsville, Ala."
4.800000000000004,78.73,73.92999999999999,EarthLink,Columbus,"Columbus, Ohio"
3.5900000000000003,10.780000000000001,7.19,EarthLink,Charlotte,"Charlotte, N.C."
2.4999999999999996,11.77,9.27,EarthLink,Atlanta,"Atlanta, Ga."
2.3999999999999995,22.11,19.71,EarthLink,Indianapolis,"Indianapolis, Ind."
2.099999999999999,19.49,17.39,EarthLink,Little Rock,"Little Rock, Ark."
0.22999999999999965,24.6,24.37,EarthLink,Nashville,"Nashville, Tenn."
-0.8300000000000002,17.810000000000002,18.64,EarthLink,Jacksonville,"Jacksonville, Fla."
